Trial,Station Type,Station Quantity,Name,Algorithm,Distance,Epsilon,Minimum Points,Metric,Method,Fit_Predict,Cluster Count,Clustered Station Count,Unclsutered Noise Count,Silhouette Coefficient,Calinski Harabaz score,Davies Bouldin score,Dunn Index
37,EH,118,HDBSCAN,Best,20.0,0.003172584,5,haversine,EOM,TRUE/FALSE,7,85,33,0.0126,31.8975,2.1209,0.0227
38,EH,118,HDBSCAN,Best,30.0,0.004758877,5,haversine,EOM,TRUE/FALSE,6,92,26,-0.0134,38.4623,1.6299,0.0230
39,EH,118,HDBSCAN,Best,40.0,0.006345169,5,haversine,EOM,TRUE/FALSE,6,92,26,-0.0134,38.4623,1.6299,0.0230
40,EH,118,HDBSCAN,Best,50.0,0.007931461,5,haversine,EOM,TRUE/FALSE,4,113,5,-0.1820,61.7343,0.7836,0.0510
41,EH,118,HDBSCAN,Best,10.0,0.001586292,2,haversine,Leaf,TRUE/FALSE,27,100,18,0.0047,12.8452,1.7048,0.0128
42,EH,118,HDBSCAN,Best,20.0,0.003172584,2,haversine,Leaf,TRUE/FALSE,21,105,13,0.0745,24.0270,1.4836,0.0287
43,EH,118,HDBSCAN,Best,30.0,0.004758877,2,haversine,Leaf,TRUE/FALSE,17,111,7,0.0038,43.0245,1.4071,0.0345
44,EH,118,HDBSCAN,Best,40.0,0.006345169,2,haversine,Leaf,TRUE/FALSE,8,114,4,-0.2132,28.8501,2.2852,0.0466
45,EH,118,HDBSCAN,Best,50.0,0.007931461,2,haversine,Leaf,TRUE/FALSE,7,116,2,-0.2166,44.6449,1.1208,0.1353
46,EH,118,HDBSCAN,Best,10.0,0.001586292,3,haversine,Leaf,TRUE/FALSE,12,84,34,-0.0125,45.3826,1.3590,0.0131
47,EH,118,HDBSCAN,Best,20.0,0.003172584,3,haversine,Leaf,TRUE/FALSE,10,95,23,0.1009,59.9149,1.3594,0.0345
48,EH,118,HDBSCAN,Best,30.0,0.004758877,3,haversine,Leaf,TRUE/FALSE,9,101,17,0.0036,59.1529,1.6028,0.0345
49,EH,118,HDBSCAN,Best,40.0,0.006345169,3,haversine,Leaf,TRUE/FALSE,5,114,4,-0.1678,55.2078,1.7050,0.0832
50,EH,118,HDBSCAN,Best,50.0,0.007931461,3,haversine,Leaf,TRUE/FALSE,5,114,4,-0.1678,55.2078,1.7050,0.0832
51,EH,118,HDBSCAN,Best,10.0,0.001586292,4,haversine,Leaf,TRUE/FALSE,8,89,29,0.0306,44.1707,1.6682,0.0369
52,EH,118,HDBSCAN,Best,20.0,0.003172584,4,haversine,Leaf,TRUE/FALSE,8,89,29,0.0306,44.1707,1.6682,0.0369
53,EH,118,HDBSCAN,Best,30.0,0.004758877,4,haversine,Leaf,TRUE/FALSE,7,95,23,-0.0535,47.9918,1.5562,0.0369
54,EH,118,HDBSCAN,Best,40.0,0.006345169,4,haversine,Leaf,TRUE/FALSE,5,98,20,-0.0423,62.7798,1.7195,0.0371
55,EH,118,HDBSCAN,Best,50.0,0.007931461,4,haversine,Leaf,TRUE/FALSE,4,116,2,-0.2142,54.1222,0.5455,0.1519
56,EH,118,HDBSCAN,Best,10.0,0.001586292,5,haversine,Leaf,TRUE/FALSE,7,85,33,0.0126,31.8975,2.1209,0.0227
57,EH,118,HDBSCAN,Best,20.0,0.003172584,5,haversine,Leaf,TRUE/FALSE,7,85,33,0.0126,31.8975,2.1209,0.0227
58,EH,118,HDBSCAN,Best,30.0,0.004758877,5,haversine,Leaf,TRUE/FALSE,6,92,26,-0.0134,38.4623,1.6299,0.0230
59,EH,118,HDBSCAN,Best,40.0,0.006345169,5,haversine,Leaf,TRUE/FALSE,6,92,26,-0.0134,38.4623,1.6299,0.0230
60,EH,118,HDBSCAN,Best,50.0,0.007931461,5,haversine,Leaf,TRUE/FALSE,4,113,5,-0.1820,61.7343,0.7836,0.0510
61,EH,118,OPTICS,Auto,10.0,0.001586292,2,haversine,Xi,TRUE/FALSE,10,23,95,-0.3246,0.8117,2.7823,0.0051
62,EH,118,OPTICS,Auto,20.0,0.003172584,2,haversine,Xi,TRUE/FALSE,13,42,76,-0.2812,1.7428,1.9177,0.0051
63,EH,118,OPTICS,Auto,30.0,0.004758877,2,haversine,Xi,TRUE/FALSE,25,75,43,-0.1207,2.6955,1.8015,0.0054
64,EH,118,OPTICS,Auto,40.0,0.006345169,2,haversine,Xi,TRUE/FALSE,26,82,36,-0.0951,4.8043,1.6288,0.0055
65,EH,118,OPTICS,Auto,50.0,0.007931461,2,haversine,Xi,TRUE/FALSE,27,85,33,-0.0752,5.5297,1.7907,0.0055
66,EH,118,OPTICS,Auto,10.0,0.001586292,3,haversine,Xi,TRUE/FALSE,1,7,111,None,None,None,None
