Trial,Station Type,Station Quantity,Name,Algorithm,Distance,Epsilon,Minimum Points,Metric,Method,Fit_Predict,Cluster Count,Clustered Station Count,Unclsutered Noise Count,Modularity,Conductance Average,Coverage Score,Performance Score
45,EH,118,LPA,None,50,0.007931461,2,haversine,None,None,12,110,8,0.6665,0.0988,0.9263,0.9483
46,EH,118,LPA,None,10,0.001586292,3,haversine,None,None,3,11,107,0.6863,0.0263,0.95,0.9994
47,EH,118,LPA,None,20,0.003172584,3,haversine,None,None,8,47,71,0.6833,0.1771,0.8511,0.9888
48,EH,118,LPA,None,30,0.004758877,3,haversine,None,None,10,76,42,0.7065,0.0529,0.9381,0.97
49,EH,118,LPA,None,40,0.006345169,3,haversine,None,None,10,101,17,0.704,0.0808,0.9616,0.9454
50,EH,118,LPA,None,50,0.007931461,3,haversine,None,None,9,104,14,0.6665,0.1285,0.9263,0.9483
51,EH,118,LPA,None,10,0.001586292,4,haversine,None,None,1,5,113,0.6863,0.0789,0.95,0.9994
52,EH,118,LPA,None,20,0.003172584,4,haversine,None,None,6,41,77,0.6833,0.1814,0.8511,0.9888
53,EH,118,LPA,None,30,0.004758877,4,haversine,None,None,7,67,51,0.7065,0.0756,0.9381,0.97
54,EH,118,LPA,None,40,0.006345169,4,haversine,None,None,9,98,20,0.704,0.0898,0.9616,0.9454
55,EH,118,LPA,None,50,0.007931461,4,haversine,None,None,9,104,14,0.6665,0.1285,0.9263,0.9483
56,EH,118,LPA,None,10,0.001586292,5,haversine,None,None,1,5,113,0.6863,0.0789,0.95,0.9994
57,EH,118,LPA,None,20,0.003172584,5,haversine,None,None,5,37,81,0.6833,0.1258,0.8511,0.9888
58,EH,118,LPA,None,30,0.004758877,5,haversine,None,None,5,59,59,0.7065,0.078,0.9381,0.97
59,EH,118,LPA,None,40,0.006345169,5,haversine,None,None,8,94,24,0.704,0.0611,0.9616,0.9454
