Sequence,Station Types,Station Quantity,Maximum Distance,Minimum Points,Name,Algorithm,Metric,Method,Seed,Generated Cluster Count,Valid Cluster Count,Clustered Station Count,Unclsutered Noise Count,Average Node Degree,Silhouette Coefficient,Calinski Harabaz score,Davies Bouldin score,Dunn Index,Modularity,Conductance Average,Coverage Score,Performance Score
23,['HN' 'LN'],281,40.0,2,HDBSCAN,best,haversine,eom,None,56,56,227,54,21.5814977974,0.0936760165193,6.69400533725,2.66172263931,0.000406666942625,0.289118884007,0.66369987874,0.450846091861,0.964056939502
24,['HN' 'LN'],281,50.0,2,HDBSCAN,best,haversine,eom,None,58,58,263,18,22.536121673,0.0826977938744,20.9632604444,2.64767544674,0.000437227557833,0.285404651426,0.676654553497,0.431306684582,0.950076258261
25,['HN' 'LN'],281,10.0,3,HDBSCAN,best,haversine,eom,None,36,36,244,37,6.35245901639,0.00302288316515,22.4160175437,2.48328884568,0.000566287424054,0.486934052503,0.0,0.697164948454,0.979842399593
26,['HN' 'LN'],281,20.0,3,HDBSCAN,best,haversine,eom,None,13,13,116,165,27.1896551724,-0.153453426837,7.13987943364,2.82768713796,0.000566287424054,0.320976843137,0.575328677051,0.542095699576,0.975088967972
27,['HN' 'LN'],281,30.0,3,HDBSCAN,best,haversine,eom,None,15,15,146,135,26.7397260274,-0.0826347394185,8.81327908614,2.92623185303,0.000566287424054,0.3388297442,0.502594498034,0.551219512195,0.9662938485
28,['HN' 'LN'],281,40.0,3,HDBSCAN,best,haversine,eom,None,20,20,179,102,26.4022346369,-0.0355308007244,8.36676583045,3.34091520484,0.000566287424054,0.352329195672,0.555498601148,0.55237711523,0.964844941535
29,['HN' 'LN'],281,50.0,3,HDBSCAN,best,haversine,eom,None,24,24,232,49,24.7931034483,0.00673110799742,21.6804701375,2.11860263528,0.000628811982053,0.354414298673,0.571525348515,0.538797447094,0.952414844942
30,['HN' 'LN'],281,10.0,4,HDBSCAN,best,haversine,eom,None,23,23,231,50,6.4632034632,-0.00349988582309,21.869266515,2.0830572724,0.000244734071176,0.524639806302,0.0,0.746134020619,0.973995932893
31,['HN' 'LN'],281,20.0,4,HDBSCAN,best,haversine,eom,None,7,7,97,184,29.9278350515,-0.0929750760353,11.4822826194,1.41059509283,0.000244734071176,0.321890702953,0.368190126855,0.553603876439,0.976563294357
32,['HN' 'LN'],281,30.0,4,HDBSCAN,best,haversine,eom,None,9,9,121,160,30.4628099174,-0.0399001460905,11.0468034566,1.49194022805,0.000244734071176,0.336908149911,0.458147637456,0.556097560976,0.969903406202
33,['HN' 'LN'],281,40.0,4,HDBSCAN,best,haversine,eom,None,14,14,165,116,27.3696969697,-0.00502180509298,14.9729970962,1.51226043025,0.000244734071176,0.357233970161,0.480063620803,0.558420628525,0.966319267921
34,['HN' 'LN'],281,50.0,4,HDBSCAN,best,haversine,eom,None,14,14,183,98,29.0163934426,-0.00226588318314,21.3494468199,1.86187940473,0.000244734071176,0.330860243165,0.543918101625,0.509237487403,0.955948144382
35,['HN' 'LN'],281,10.0,5,HDBSCAN,best,haversine,eom,None,15,15,223,58,6.92376681614,-0.0145531885569,37.2270942513,3.70799082563,0.00304069767564,0.566623379211,0.0,0.822164948454,0.960726995425
